Fecha del reporte,Personal,Cantidad,Dosis,Fuente,Minuto,Vacuna,Link,Notas
02/02/2021,Personal de la salud,45748,2,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1356811082791145475/photo/2,
02/02/2021,Personal educativo,17058,1,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1356811082791145475/photo/3,
02/02/2021,Personal educativo,0,2,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1356811082791145475/photo/4,
01/02/2021,Personal de la salud,614689,1,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1356469110134177793/photo/2,
01/02/2021,Personal de la salud,43455,2,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1356469110134177793/photo/2,
01/02/2021,Personal educativo,17058,1,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1356469110134177793/photo/2,
01/02/2021,Personal educativo,0,2,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1356469110134177793/photo/2,
31/01/2021,Sin especificar,631485,1,Youtube,15.51,Pfizer-Biotech,https://www.youtube.com/watch?v=Ikm_ipQ0osY,
31/01/2021,Sin especificar,41842,2,Youtube,15.51,Pfizer-Biotech,https://www.youtube.com/watch?v=Ikm_ipQ0osY,
30/01/2021,Sin especificar,631298,1,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1355722190524706816/photo/1,
30/01/2021,Sin especificar,39009,2,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1355722190524706816/photo/1,
29/01/2021,Sin especificar,630820,1,Youtube,30.12,Pfizer-Biotech,https://www.youtube.com/watch?v=6tDzRgsAMNI,
29/01/2021,Sin especificar,31397,2,Youtube,30.12,Pfizer-Biotech,https://www.youtube.com/watch?v=6tDzRgsAMNI,
28/01/2021,Sin especificar,626528,1,Youtube,10.19,Pfizer-Biotech,https://www.youtube.com/watch?v=nXT9Xr0rnK8,
28/01/2021,Sin especificar,31314,2,Youtube,10.19,Pfizer-Biotech,https://www.youtube.com/watch?v=nXT9Xr0rnK8,
27/01/2021,Sin especificar,624730,1,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1354631791471177728/photo/1,
27/01/2021,Sin especificar,31314,2,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1354631791471177728/photo/1,
26/01/2021,Sin especificar,621005,1,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1354327149684158464/photo/1,
26/01/2021,Sin especificar,31314,2,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1354327149684158464/photo/1,La fecha del tweet aparece como 27 pero es de la conferencia del 26 . 
25/01/2021,Sin especificar,613390,1,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1353910759936425989/photo/1,
25/01/2021,Sin especificar,28715,2,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1353910759936425989/photo/1,
24/01/2021,Sin especificar,604441,1,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1353539683297333248/photo/1,
24/01/2021,Sin especificar,25185,2,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1353539683297333248/photo/1,
24/01/2021,Personal educativo,5953,NA,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1353559486011764736,Se infiere que todos son primera dosis porque en fechas subsecuentes no hay educativos con dos dosis.
23/01/2021,Sin especificar,592296,1,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1353172451623112709/photo/1,
23/01/2021,Sin especificar,22472,2,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1353172451623112709/photo/1,
23/01/2021,Personal educativo,2766,NA,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1353189090020233216,Comienza la vacunación en Campeche de personal educativo. Se infiere que todos son primera dosis porque en fechas subsecuentes no hay educativos con dos dosis.
22/01/2021,Sin especificar,574642,1,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1352842826686504960/photo/3,
22/01/2021,Sin especificar,20083,2,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1352842826686504960/photo/3,
21/01/2021,Sin especificar,534317,1,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1352478462024544257/photo/1,
21/01/2021,Sin especificar,18018,2,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1352478462024544257/photo/1,
20/01/2021,Sin especificar,489628,1,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1352098787372761089/photo/1,
20/01/2021,Sin especificar,11402,2,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1352098787372761089/photo/1,
19/01/2021,Sin especificar,488513,1,Youtube,19.07,Pfizer-Biotech,https://www.youtube.com/watch?v=PoCwb0ucuwo,
19/01/2021,Sin especificar,9609,2,Youtube,19.07,Pfizer-Biotech,https://www.youtube.com/watch?v=PoCwb0ucuwo,
18/01/2021,Sin especificar,485983,1,Youtube,19.07,Pfizer-Biotech,https://www.youtube.com/watch?v=XcNmPy7lERU,
18/01/2021,Sin especificar,6546,2,Youtube,19.07,Pfizer-Biotech,https://www.youtube.com/watch?v=XcNmPy7lERU,
17/01/2021,Sin especificar,465224,1,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1351010266817945602/photo/1,
17/01/2021,Sin especificar,3484,2,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1351010266817945602/photo/1,
16/01/2021,Sin especificar,461025,1,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1350633804893970432/photo/1,
16/01/2021,Sin especificar,2221,2,Twitter,NA,Pfizer-Biotech,https://twitter.com/SSalud_mx/status/1350633804893970432/photo/1,
15/01/2021,Sin especificar,413459,1,Youtube,22.34,Pfizer-Biotech,https://www.youtube.com/watch?v=vsOVoNl52vw,
15/01/2021,Sin especificar,1958,2,Youtube,22.34,Pfizer-Biotech,https://www.youtube.com/watch?v=vsOVoNl52vw,
